wine_no,designation,winery
126505,Limited Edition,Echeverria
126506,Mesa Reserve,Zaca Mesa
126507,Grande Cuvée Prestige,Château la Coustarelle
126508,La Cruz Vineyard,Keller Estate
126509,Alisos Vineyard,La Fenêtre
126510,,Merryvale
126511,O'Neel Vineyard,Regale Winery and Vineyards
126512,Rubesco Riserva Vigna Monticchio,Lungarotti
126513,Cherryblock,Sebastiani
126514,South Block,Willamette Valley Vineyards
126515,,Trefethen
126516,Black Ridge Vineyard,Folkway
126517,Lady May,Glenelly
126518,Clos Triguedina Au Coin du Bois,Jean-Luc Baldès
126519,Mahoney Ranch,Mahoney
126520,Unfiltered,Newton
126521,Red Wine,Peter Franus
126522,Croft Vineyard,Arbor Brook
126523,Gran Reserva,Tomero
126524,Monte Rosso,Arrowood
126542,Jewell Vineyard Dutton Ranch,The Calling
126525,Series M,Vilafonté
126526,Fuqua,Erath
126527,,Spann Vineyards
126528,Reserve,Swiftwater Cellars
126529,Estate Grown,Tanner
126530,Omine Secundo,William Murdoch
126531,Sergio Zenato Riserva,Zenato
126532,Bonsall,2Plank
126533,,Head High
126534,Small Parcels Wild Grace,Kim Crawford
126535,Chemin de Fer,Lasseter
126536,Don Nicanor,Nieto Senetiner
126537,,Prima Materia
126538,Lee Vineyard,Saintsbury
126539,Portolan,Sextant
126540,Sundance,Soos Creek
126541,Black Diamond,Swiftwater Cellars
126543,Longevity,JM Cellars
126544,Estate,Melville
126545,,N. Kendall Wines
126546,,N. Kendall Wines
126547,,Olivier Leflaive
126548,Les Crots Premier Cru,Domaine Chevillon-Chezeaux
126549,,Domaine de Vodanis
126550,Philippe Girard Cuvée Silex,Domaine Girard
126551,,Domaine le Virolys
126552,,Domaine Trouillet
126553,Cuvée Silex,Fournier Père et Fils
126554,The V,Adams Bench
126555,Reserva,Alma de los Andes
126556,Limited Release,Black Stallion
126557,Estate,Albatross Ridge
126558,Puccioni Vineyard,Martin Ray
126575,Bench Blend,William Hill Estate
126559,Block Five East Estate Bottled,Millbrook
126560,Perpetua,Mission Hill
126561,Reserve Icewine,Mission Hill
126562,Bradford Mountain Grist Vineyard,Ousterhout
126563,,Presqu'ile
126564,Quest,Quivira
126565,Viña Tondonia Reserva,R. Lopez de Heredia
126566,Icon Native Sonoma Mixed Blacks,Ravenswood
126567,Andriana's Cuvee,Summers
126568,,Tenuta La Fuga
126569,Dutton Ranch,The Calling
126570,Primal Scream,The Farm Winery
126571,,Tinhorn Creek
126572,Some Days Are Diamonds,Two Vintners
126573,,Vinoce
126574,Clos Pepe,Walt
126576,Ferrington Vineyard,Williams Selyem
126577,Chapel G,Zaca Mesa
126578,Riserva,Il Brunone
126579,,Donna Olga
126580,Reserve,Dr. Konstantin Frank
126581,Király Dulo,Erzsébet Pince
126582,Bien Nacido Vineyard,Fess Parker
126583,Older Barrels,Fess Parker
126584,Barrel Select,Foley
126585,,Freeman
126586,Inspiración Valdemar Selección,Bodegas Valdemar
126587,Les Comtesses,Domaine Paul Thomas
126588,,Doyenne
126589,Benedict Cuvée,Dveri-Pax
126590,Coulée des Moulins,Florian Roblin
126591,Estate Grown Reserve,Gordon Estate
126592,,La Mannella
126666,,Château d'Arche
126593,,Massaya
126594,,Massaya
126595,Nocturne,Midnight
126596,Una Notte,:Nota Bene
126597,Sruth Boushey Vineyard,Telaya
126598,642° Il Canapone,Tenuta La Badiola
126599,,Château du Trignon
126600,,La Cignozza
126601,,Le Bertille
126602,Casalvento,Livernano
126603,Riserva,Renieri
126604,,Kunde
126605,,La Rasina
126606,,Lambardi
126607,Òlbia,Marco Abella
126608,Brut Exclusive Gran Reserva,Marqués de Gelida
126609,,Matteo
126610,Les Serpentières Premier Cru,Maurice Ecard
126611,Reserve,Mission Hill
126612,,Nagy
126613,,Noble Tree
126614,Arianses Vineyard,:Nota Bene
126615,,Ouled Thaleb
126616,Chance,Poggio Verrano
126617,Porer,Alois Lageder
126618,Kabinett,Heinz Eifel
126619,Plattenriegl,Girlan
126620,Reserve,Diemersfontein
126621,,Cartlidge & Browne
126622,Don David Reserve,El Esteco
126623,Tranquilo,Chronic Cellars
126624,Caligo,Conti Formentini
126625,Moenchberg Grand Cru,Domaine Gresser
126626,,Francis Tannahill
126627,The Angel Oak Assemblage Reserva,SignoSeis
126628,Selezione,Borgo del Tiglio
126629,Castel Giovanelli,Caldaro
126630,Söll,Caldaro
126631,Colheita Tawny,Cálem
126632,Termão,Campolargo
126633,,Cantina Cortaccia
126634,Anger,Cantina Produttori San Michele Appiano
126635,Rogue Rouge,Grizzly Peak
126636,Reserve,Hawthorne
126637,,Jermann
126638,Piesporter Michelsberg,Karl Josef
126639,Colheita White,Kopke
126640,,Gotín del Risc
126641,,Aderezo
126642,Praelatenberg Grand Cru,Allimant-Laugner
126643,,Lucky Neko
126644,Three Corner Jack Shiraz-Cabernet-Merlot,Mr. Riggs
126645,Selección de Añada,Pazo de Señorans
126667,,Château Lavillotte
126646,Bel Tramonto,Mari
126647,,Château Carcanieux
126648,,Château de Cérons
126649,,Château de Tourteyron
126650,,Château du Taillan
126651,,Château La Grange de Bessan
126652,,Château Plantier Rose
126653,,Château Roullet
126654,Ruah,Desert Wind
126655,Reserve,Dunning Vineyards
126656,,Envy
126657,,Coffee Pot Cellars
126658,Master Lot Reserve,Wolfgang Puck
126659,Eggo,Zorzal
126660,HMR Estate Vineyard,Adelaida
126661,Old Vine,Bota Box
126662,Horse Rescue Angel,Baiting Hollow Farm Vineyard
126663,,Kenwood
126664,,Summerwood
126665,,Château Baston-Brillette
126668,,Fog Head
126669,,Hannah Nicole Vineyards
126670,Vineyard Selection,Hubert Weber
126671,Finca de Villatuerta,Bodegas Julián Chivite
126672,,Girasole
126673,,Château du Moulin Rouge
126674,,Château la Fleur
126675,Terroir Champoux Vineyard,Hogue
126676,Rosato,Lechthaler
126677,Rosella's Vineyard,Loring Wine Company
126678,Castel Firmian,Mezzacorona
126679,Nimbus Estate Single Vineyard,Viña Casablanca
126680,,ZD
126681,Casal di Serra,Umani Ronchi
126682,,Villa Pozzi
126683,ranga.ranga,Barker's Marque
126684,Broilet,Campo Maseri
126685,,Climbing
126686,Vino de la Familia,Page Springs
126687,Orcia,Poggio al Vento
126688,Reserve,San Juan Vineyards
126689,,Simonnet-Febvre
126690,Keefer Ranch Vineyard,Loring Wine Company
126691,San Lorenzo,Melini
126692,,Montevina
126693,,Mud House
126694,Côte de Léchet Premier Cru,Domaine Pommier
126695,,Farnese
126696,Trebulanum,Fattoria Alois
126697,Riserva Biagio,Castellani
126698,,Domaine Pommier
126699,,oops
126700,Trumpeter,Rutini
126701,Hochterrassen,Salomon-Undhof
126702,Reserva Raventós Brut,Codorníu
126703,Laetitia Vineyard,Perbacco Cellars
126704,Vila Santa Trincadeira,J. Portugal Ramos
126705,Extra Dry,Masottina
126706,,Valley of the Moon
126948,,Brownstone
126707,,Wattle Creek
126708,Vendanges Tardives,Lucien Albrecht
126709,,Marilyn Merlot
126710,,River Star
126711,Old Vine,Van Ruiten
126712,Carballo Galego,Condes de Albarei
126713,Le Grand Cros La Maîtresse Rosé Brut,Domaine du Grand Cros
126714,Millesimato Val d'Oca Extra Dry,Cantina Produttori di Valdobbiadene
126715,Dry Cuvée,Villa Sandi
126716,Ermita d'Espiells,Juvé y Camps
126717,Ergo,Martín Códax
126718,,Mettler Family Vineyards
126719,Dry,Radog
126720,Premier Cuvée Blanc de Blancs Brut,Graham Beck
126721,Dry Millesimato,Montesel Renzo
126722,Block Collection Walking Tree,Geyser Peak
126723,,Jules Taylor
126724,Dry Estate Bottled,Navarro
126725,Charmois Premier Cru,Olivier Leflaive
126726,DuBrul Vineyard,Owen Roe
126727,Dry Unfiltered Amber Wine,Pheasant's Tears
126728,Volpolo,Podere Sapaio
126729,Late Bottled Vintage,Ramos-Pinto
126730,Reserve,Recanati
126731,Reserve Wild,Recanati
126732,Kashaya,Relic
126733,Sierra Madre Vineyard Estate,Sierra Madre
126734,L'Avion,Stolpman
126735,Spilya Vineyard,Tapteil Vineyard
126736,Greppicante,Tenuta I Greppi
126737,Mancini Ranch,Joseph Swan Vineyards
126738,Trenton Station Vineyard,Joseph Swan Vineyards
126739,Primo's Hill,Kazmer & Blaise
126740,Prima Causa,La Selva
126741,,MacRostie
126742,Dreadnought,Man O' War
126743,Belguardo Serrata,Mazzei
126744,Estate Verna's,Melville
126745,Roaring Meg,Mt. Difficulty
126746,Lagone,Aia Vecchia
126747,,Benovia
126748,Riserva,Terenzi
126749,,Transcendence
126750,Zotovich Vineyard,Transcendence
126751,Mohrhardt Ridge,Wellington
126752,Dry,Paumanok
126753,Seven Hills Vineyard,Pepper Bridge
126754,Altamimbre,Pingón
126755,Sandgrube,Aigner
126756,Cuvée R,Alleromb
126757,La Reyna Blanca Vineyard,Alleromb
126758,Vorgeschmack,Arndorfer
126810,,Domaine des Nugues
126759,Limited Release,Black Stallion
126760,,Château de Belcier
126761,,Château des Annereaux
126762,Estate Grown Blue Mountain Vineyard,Tranche
126763,,Tritón
126764,Ethos Reserve Late Harvest,Chateau Ste. Michelle
126765,D2,DeLille
126766,,Dusted Valley
126767,,Feliz Noche
126768,Gilgal,Golan Heights Winery
126769,Steirische Klassik,Gross
126770,Semele,Montebaco
126771,,Villa Oneiro
126772,,Volpaia
126773,Steinriegl,Wohlmuth
126774,Per Due,Hermann Moser
126887,,Alvinte
126775,Cask,Inglenook
126776,Finvarra,Keating
126777,Brynnan,Kontos
126778,,Lake Chalice
126779,Unoaked,Lamoreaux Landing
126780,,Les Voleurs
126781,Steinagrund,Leth
126782,Pignol,Bressan
126783,Catarina,Bacalhôa Wines of Portugal
126784,Vintage,Broadbent
126785,Quinta de Pancas Reserva,Companhia das Quintas
126786,Fleur de Confiance Rasteau,Domaine la Soumade
126787,Pisca Vintage,Niepoort
126788,,Quady North
126789,Brosseau,Roessler
126790,Resonance Vineyard,Sineann
126791,Schindler Reserve,Sineann
126792,Follies,Aveleda
126793,Beaulieu Reserve Maestro Collection No. 1,Beaulieu Vineyard
126794,Tapestry Reserve,Beaulieu Vineyard
126795,Phenomenon,Benessere
126796,Dry,Chehalem
126797,Quinta do Cardo Selecção do Enólogo,Companhia das Quintas
126798,Domaine Grand Veneur,Alain Jaume et Fils
126799,,Domaine de Cristia
126800,Blanco,Trenza
126801,Icewine,Konzelmann
126802,Vintage,Ramos-Pinto
126803,Cuvée Jean,Château Jolys
126804,,Château La Clare
126805,,Château Saint-Michel
126806,,Château Thénac
126807,Carmín de Peumo,Concha y Toro
126808,L'Ardenza,Cottanera
126809,Les Casterasses,Domaine Bru-Baché
126811,C'D'C' Rosso,Baglio del Cristo di Campobello
126812,Il Monovitigno,Benanti
126813,Lot 316,Cameron Hughes
126814,Cuvée Reine,Château de Roquebrune
126815,,Château Tour Saint-Vincent
126816,,Château Vieux Robin
126817,Reserve,Chehalem
126818,Marques de Casa Concha,Concha y Toro
126819,Etna Bianco,Cottanera
126820,Reserve Assemblage Cabernet Sauvignon-Carménère-Petit Verdot,Estampa
126821,Hedonis,Feudo Arancio
126822,Dry,Foris
126823,Colson Canyon Vineyard,Margerum
126824,Steinberg,Pratsch
126825,River Ranch,Renteria
126826,Brut Excellence,Scharffenberger
126827,,Tarara
126828,Rosso di Napa,Ca' Momi
126829,,Volker Eisele Family Estate
126830,Brut X,Iron Horse
126831,Oliver,Two Vintners
126832,,Cascade Ridge
126833,Monte Rosso Vineyard,Charter Oak
126834,Tendresse,Château de Jurque
126835,,Chateau Ste. Michelle
126836,Reserve Estate Unoaked,Columbia Crest
126837,Les Hauts de Guillaman,Domaine Guillaman
126838,,Donnachiara
126839,,First Press
126840,Hawley Vineyard Estate,Hawley
126841,Oehlman Vineyard,Hawley
126842,Rosso,Mastroberardino
126843,Beckstoffer To Kalon Vineyard,B Cellars
126844,Légende des Toques,Balma Venitia
126845,A Lisa,Bodega Noemía de Patagonia
126846,Enamore,Bodega Renacer
126847,Panorama Vineyard,Carmel Road
126848,Riserva Romeo,Castello di Luzzano
126849,Via Diagonalis,Castra Rubra
126850,,Anko
126851,Paragon Vineyard,Tangent
126852,Reserva,Criterion
126853,,Kon Tiki
126854,City Wine Reserva,Viñedos Marchigüe
126855,Salsus,Wines & Winemakers
126856,Nomad Dealurie Munteniei,Domeniile Sahateni
126857,,Avalon
126858,,Château de Cornemps
126859,,Château Lary
126860,,Château Laubes
126861,,Château Suau
126862,,Côtnar Hills
126863,,Famiglia Meschini
126864,Red Ranch,Hanna
126865,Château Baruaud,Maison Bouey
126908,Romeira,Caves Velhas
126866,Cabernet Sauvignon,Príncipe de Viana
126867,,Rutherford Ranch
126868,Reserva,Santa Carolina
126869,Reserva,Santa Rita
126870,Sousa Lopes Unfiltered,Casa da Torre
126871,Fleurs de Belcier,Château de Belcier
126872,7 Hectares Vin Bio,Château de Lisennes
126873,Les Caprices d'Anaïs,Château des Arnauds
126874,,Château Mémoires
126875,Bigode Branco,DFJ Vinhos
126876,Coreto Branco,DFJ Vinhos
126877,,Raventós de Alella
126878,Supertuga Block,Ritual
126879,,Rivera
126880,Two Range,Rutherford Ranch
126881,Quinta da Cidadoura,Santos & Santos
126882,Periquita Reserva,José Maria da Fonseca
126883,,Line 39
126884,,Luca
126885,,Whitehall Lane
126886,,Whitehall Lane
126888,JP Azeitão Branco,Bacalhôa Wines of Portugal
126889,,Bello Family Vineyards
126890,Barrel Select,Bodega Norton
126891,,Brokenwood
126892,Aliança Particular,Caves Aliança
126893,,Château Suau
126894,Codice,Dominio de Eguren
126895,Crios Rosé of Malbec,Dominio del Plata
126896,Estate,Doña Paula
126897,Bergkelder Selection,Fleur Du Cap
126898,,Guerra Albano
126899,,Hartenberg
126900,Bates Ranch,Ahlgren
126901,Meia Pipa,Bacalhôa Wines of Portugal
126902,,Bota Box
126903,,C.G. di Arie
126904,Eternity Sparkling Cuvée,Westend
126905,,Wakefield
126906,,Zorzal
126907,,Casa de Vila Verde
126909,Finca Resalso,Emilio Moro
126910,Native Tinto,Fiuza
126911,Brut Rosé,Charles Duret
126912,,Charles Duret
126913,Vieilles Vignes,Château de Santenay
126914,,Hearst Ranch
126915,,Herencia
126916,Eclipse,Heron Hill
126917,The Bohan-Dillon Estate,Hirsch
126918,Timothy Moore Rice Canandaigua,Inspire Moore
126919,Châtenoy,Isabelle et Pierre Clément
126920,Full Monty,Lakewood
126921,Riserva,Villa Montignana
126922,Les Crilles,Gitton Père et Fils
126923,Molino della Suga,Bonacchi
126924,Estate Bottled,Wagner
126925,,Luiano
126926,Danielle Estate,Merriam
126927,Lillá in Fiore,Patland
126928,,Paul Prieur et Fils
126929,,Philippe Girard
126930,,Poggiarellino
126931,,Roger et Didier Raimbault
126932,,Sula
126933,,The White Doe
126934,Oldfield Series 2Bench,Tinhorn Creek
126935,El Miracle 120,Vicente Gandia
126936,Único,Vicente Gandia
126937,El Miracle 120,Vicente Gandia
126938,,Vinoce
126939,,Waterbrook
126940,Casaba,Yazgan
126941,Double Decker Red,Tamás
126942,Reserva,TerraNoble
126943,,Three Rivers
126944,Proximus,Adastra
126945,,Weninger
126946,Pigmentum,Georges Vigouroux
126947,,Gilbert Cellars
126949,Reserve Barrel Select,Santa Ema
126950,Naked,Snoqualmie
126951,,Stephanie
126952,Ensemble Blanc,Morse
126953,,Adobe Road
126954,,Hess Select
126955,Classic,Iby
126956,,Leaping Lizard
126957,,Leaping Lizard
126958,Reserva,MontGras
126959,Robt D Red Wine,Edmonds Winery
126960,Vinas Viejas,Elki
126961,Pinnacles Ranches,Estancia
126962,Reserve,Frei Brothers
126963,,Fenestra
126964,Carmenère,Pacifico Sur
126965,Mongovone,Elio Perrone
126966,FV Red Wine,Foundry Vineyards
126967,San Rocco,Giacosa Fratelli
126968,,Angel Vine
127176,Peach,Totally Random
126969,La Luciana,Araldica
126970,La Monella,Braida di Giacomo Bologna
126971,La Solista,Caudrina
126972,Dark Star,Kana
126973,,La Rochelle
126974,Casa,Lapostolle
126975,,Silvio Morando
126976,Bric Quercia,Tenuta Carretta
126977,La Capitana Barrel Reserve,Viña La Rosa
126978,Organic,Yalumba
126979,,Zaca Mesa
126980,Clava,Quintay
126981,Hyde Vineyards,Selene
126982,,Silvio Morando
126983,Felicity,Sodaro
126984,Ghielmetti Vineyard,Steven Kent
126985,Colbertina,Tenuta L'Illuminata
126986,,Thelema
126987,Reserve,Angeline
126988,Albera,Araldica
126989,Ovello Riserva,Produttori del Barbaresco
126990,,Quinta de Lemos
126991,2 Tintos Petit Verdot-Alicante Bouschet,Quinta de São Sebastião
126992,Vers Chânes Vieilles Vignes,Rijckaert
126993,Boito Riserva,Rizzi
126994,Nervo,Rizzi
126995,Kiedrich Turmberg Auslese,Robert Weil
126996,Ravera di Monforte,Rocca Giovanni
126997,Red Shoulder Ranch,Shafer
126998,Spätlese,Schloss Vollrads
126999,Les Baudes Premier Cru,Henri de Villamont
127000,Comporta,Herdade da Comporta
127001,Les Champgains Premier Cru,Jean-Luc and Paul Aegerter
127002,Les Suchots Premier Cru,Louis Latour
127003,Oberhäuser Leistenberg Kabinett,Dönnhoff
127004,Lone Madrone Vineyard,Elizabeth Chambers
127005,Reserve,Francis Coppola
127006,,Trombetta
127007,Les Vignes Franches Premier Cru,Yves Giradin
127008,,Greyscale
127009,Old Master Estate Grown,Hudson Vineyards
127010,Mea Culpa,Innocent Bystander
127011,Alluvial Fans,Kangarilla Road
127012,Whole Cluster Cuvée,Archery Summit
127013,Ab Ovo,Archery Summit
127014,Effort,Center of Effort
127015,Asili,Ceretto
127016,Durell Vineyard,Chardenet
127017,La Maltroie Premier Cru,Château de Santenay
127018,Chiesa Nera,Clos Venturi
127019,Nati,Sorrentino
127020,Vineyard Kilaurwen,Pearmund
127021,,Ackerman
127022,,Vestini Campagnano
127023,Pence Ranch Swan Selection,Whitcraft
127024,Purato,Tresa
127025,,Veramar
127026,The Expedition Canoe Ridge Estate Vineyard,Canoe Ridge
127027,,Domaine Specht
127028,E16 Selection,E16
127029,Terres de Saint-Louis,Estandon
127030,Steen,Ernst Gouws & Co.
127031,A&D Vineyard Wild Ferment,Bellwether
127032,,Bluestone
127033,Clásico Fincas Propias,Castillo de Monjardin
127034,Baron de Hoen,Cave de Beblenheim
127035,,Barren Ridge
127036,,Beau Joubert
127037,Almost Unoaked,Tarara
127038,Perpetual Bliss Camp 4 Vineyard,Turiya
127039,,Villa Andriana
127040,,Wild South
127041,Winemaker's,Red Theory
127042,Campbell Ranch Vineyard,Sojourn
127043,Grande Escolha,Casa de Vilacetinho
127044,Estate,Casanel
127045,Ciconia,Ciconia
127046,Paxis,DFJ Vinhos
127047,Reserva Branco,Encosta do Sobral
127048,Reserva,Finca Adelma
127049,Estate,Finca El Origen
127050,3 Castas Nature,Fiuza
127051,,Fat Bastard
127052,Vista del Monte Vineyard Reserve,Monte De Oro
127053,Domaine du Manay,Pierre Jacolin
127054,,Settlers Rise
127055,,South Stage
127056,,Stinson
127057,Le Val,Vinadeis
127058,Weinkellerei Auslese,Leonard Kreusch
127059,Selección Especial,Los Andicos
127060,Fleur de Carbonnel,M. & J-F Bertrand
127061,,Maison de la Villette
127177,,Cannonball
127062,,Maison Marcel
127063,Azul Portugal,Wines & Winemakers
127064,Sustainably Farmed Estate Grown and Bottled,Zolo
127065,,Luigi Bosca
127066,Senses,Adega Cooperativa de Borba
127067,Bridão Clássico Branco,Adega Cooperativa do Cartaxo
127068,Roca,Alfredo Roca
127069,,Blue Valley
127070,,Bowman Cellars
127071,Hafoty Fawr,Sutcliffe
127072,Stamp of Australia,Hardys
127073,,O. Fournier
127074,Wairau Reserve,Saint Clair
127075,District Collection,Raymond
127076,Almirez,Teso La Monja
127077,Ciel du Cheval Claret,Tyrus Evan
127078,Pendore,Kavaklidere
127079,Boisseau,Linden
127080,Boushey Vineyard Liberté,Maison Bleue
127081,Métis Blanc,Maison Bleue
127082,Novaserra,Mastroberardino
127083,Stillwater Creek Vineyard,Novelty Hill
127084,Single Clone No. 239,Boundary Breaks
127085,Emblema,Cantine Olivella
127086,Gravel Ridge Vineyard,Cooper-Garrod
127087,Chaleur Estate,DeLille
127088,Reserva,Durigutti
127089,Matallana,Telmo Rodríguez
127090,Alimata,Villa Raiano
127091,,Abeja
127092,Veraton,Alto Moncayo
127093,Josef Vineyard Late Harvest Estate Bottled and Grown,Hermann J. Wiemer
127094,Magdalena Vineyard Dry Estate Bottled and Grown,Hermann J. Wiemer
127095,,Jules Taylor
127096,Black Bart Stagecoach Vineyard,Krupp Brothers
127097,,Leonetti Cellar
127098,Rosé of,Lynmar
127099,The Dissident,Mark Ryan
127100,Exposure,Oakville East
127101,Reserve,Barnard Griffin
127102,,Boudreaux Cellars
127103,,Yering Station
127104,Pietragavina Monreale,Tamburello
127105,Vintage Reserve,The Williamsburg Winery
127106,Old Hat,Lone Madrone
127107,,Sheldrake Point
127108,,Rezonja
127109,John Adlum,The Williamsburg Winery
127110,Limited Release,D.H. Lescombes
127111,Rosé,Domaine de Ballade
127112,,Alberti 154
127178,Estate,Clos La Chance
127113,,Ancient Peaks
127114,,Ikal 1150
127115,,McGregor
127116,,Vino dei Fratelli
127117,Reserva,Bodega Norton
127118,Jovly,Caves du Val de France
127119,,Ancient Peaks
127120,Peace Family Vineyard,Andrew Peace
127121,Eleganten,Rezonja
127122,Reserve,Tall Poppy
127123,Les Abeilles,Jean-Luc Colombo
127124,Vintner's Select Purple Sage Vineyard,Almquist
127125,,Arrumaco
127126,,Browne Family Vineyards
127127,Château de Monrecueil,Château de Belcier
127128,,Château du Vallier
127129,,Château Mezain
127130,,Croma Vera
127131,Sur Lie,Domaine du Colombier
127179,Piemontese,Three Fox
127132,Château Grand Escalion,Gabriel Meffre
127133,Lagunilla Crianza,Marqués de la Concordia
127134,Vega de la Reina,Marqués de la Concordia
127135,,Martha Clara
127136,Graciano,Proelio
127137,,Rock Wall
127138,,Snoqualmie
127139,,Three Rivers
127140,Sur Lie,Lacheteau
127141,Grande Toque,Marrenon
127142,,Maryhill
127143,,Mattebella
127144,,Mercer
127145,Steak House,Original House Wine
127146,Friends,Pedroncelli
127147,,R35
127148,Limited Edition,Ramón Bilbao
127149,Bricco Cogni,Reverdito
127150,Noir Collection,Roblar
127151,,Sand Point
127152,,Sannino
127153,Reserva,Chilcas
127154,,Bernardus
127155,Confluence Red Blend,Cedar River Cellars
127156,Cherub Rosé of Syrah,Montes
127157,Longbow,Arista
127158,,B.R. Cohn
127159,el Forastero,Hug
127160,el Chico,Hug
127161,Reserve,Dahlia
127162,,Dancing Creek
127163,Reserve,Oak Grove
127164,,Montevina
127165,Dijon Clone,Scott Family
127166,,Bridlewood
127167,Watershed,Cedar River Cellars
127168,,Clos La Chance
127169,Booker Vineyard,Hug
127170,Lightly Oaked,Woodbridge by Robert Mondavi
127171,Il Signor Reserve,Three Fox
127172,Reserva,Cremaschi Furlotti
127173,Pink Wine,Pink Truck
127174,,Arauco
127175,,Boxwood
127180,Reserve,V Norte
127181,el Conquistador,Hug
127182,,MooBuzz
127183,Casa La Joya Reserve,Viña Bisquertt
127184,,Damiani
127185,,Shaw
127186,Vintner's Reserve,Sterling
127187,El Pomar Junction Vineyard,Kenneth Volk
127188,Villa del Borgo,Forchir
127189,Caton Vineyard Tytanium,Ty Caton
127190,Barrel Fermented,Airlie
127191,,Vino dei Fratelli
127192,Pinot Grigio,Zonin
127193,Family Reserva,Echeverria
127194,Villa del Borgo,Forchir
127195,Semonnay,Fenestra
127196,Red Hot Mama,Vivác Winery
127197,Ellie's Vineyard Old Vine,Wilson
127198,Claret,Mount Pleasant Winery
127199,Reserve,Rancho Zabaco
127200,,Spangler Vineyards
127201,Animo,Michael Mondavi Family Estate
127202,Radian Vineyard,Pali
127203,Stormwatch Estate Reserve,San Simeon
127204,Bob's Ranch,Walt
127205,Gap's Crown,Walt
127206,Cattle King Upland Vineyard,K Vintners
127207,Rock Garden,K Vintners
127208,Peterson Vineyard,Mansfield-Dunne
127209,Braunberger Juffer-Sonnenuhr Spätlese Grosse Lage,Reichsgraf von Kesselstatt
127210,Johannisberger Klaus Spätlese,Johannishof
127211,West Block,Bethel Heights
127212,Reserve,Brecon Estate
127213,Ellie's,Hall
127214,Cuvée Vivienne Estate Grown,Albatross Ridge
127248,Tradition,Tobacco Road
127215,Terraces,Boeschen Vineyards
127216,Hawk Hill Vineyard,De Loach
127217,SJR Vineyard,Delmas
127218,Hallberg Vineyard,Gary Farrell
127219,Olivet Lane Vineyard,Gary Farrell
127220,Estate Grown Cave Fermented,Jarvis
127221,Klein,K Vintners
127222,Susanna's Vineyard,Lynmar
127223,Toro y Scorpio,Ovum
127224,Valbuena 5,Vega Sicilia
127225,Abercrombie,Howard Park
127226,Monte Meão,Quinta do Vale Meão
127227,,Quinta do Vesuvio
127228,Shea Vineyard,Raptor Ridge
127229,Reuling Vineyard,Reuling Vineyard
127328,,Château Beaulieu
127230,Super Substance Bx Klein Vineyard,Substance
127231,,Suberli
127232,Redd Brand BDX,Tertulia
127233,Estate Cabernet Franc,Three Rivers
127234,Domaine Petroni,Union de Vignerons de l'Île de Beauté
127235,,Vigilance
127236,I Tre Vescovi,Vinchio-Vaglio Serra
127237,Estate,Wise Villa
127238,,Viña Mayor
127239,Estate Grown,Willow Crest
127240,Bad Attitude,Nodland
127241,,Primus
127242,,Rizieri
127243,,Roger et Didier Raimbault
127244,Brut,Segura Viudas
127245,Gridley Bluff Point Vineyard,Silver Thread
127246,,SVI
127247,,The Conqueror
127249,Estate Rosé of,Tolosa
127250,Tradición,Adegas Moure
127251,Enco Reserve,Anakena
127252,,Bargetto
127253,Sawmill Creek Vineyard Dry,Bellwether
127254,Alcanta,Bocopa
127255,Laudum Nature Oak Aged Made With Organic Grapes,Bocopa
127256,,Boomtown
127257,,Cairdean Estate
127258,Baia al Vento,Campo al Mare
127259,Maria di Brun,Ca'Romè
127260,Joven,Casa de la Ermita
127261,Fortissimo,LaStella
127262,Grand Cras Vieilles Vignes,Laurent Gauthier
127263,Lot 318,Lorenzi Estate
127264,,LTU
127265,Clone 6,Lucas & Lewellen
127266,Don Miguel Vineyard Estate Grown and Bottled,Marimar Estate
127267,Fiorellino Murmur Vineyard Late Harvest,Mattina Fiore
127268,Donna's,Melville
127269,,Merryvale
127270,Classe M Brut,Montaudon
127271,Justice Vineyard,St. Innocent
127272,,The Four Graces
127273,Elkton Vineyard,River's Edge
127274,Stagecoach Vineyard,Sequoia Grove
127275,Muns Vineyard,Sonnet
127276,Sélection de Parcelles Premier Cru Brut,Henriet-Bazin
127277,Esporão Reserva,Herdade do Esporão
127278,Cuvée Alpha,Jacquart
127279,Brut,Vettori
127280,Series M,Vilafonté
127329,Blanc de Noirs,Gloria Ferrer
127281,Late Bottled Vintage,Warre's
127282,Late Bottled Vintage Unfiltered,Fonseca
127283,,Domaine Anderson
127284,Dubl Rosato Metodo Classico,Feudi di San Gregorio
127285,,Firestone
127286,Estate Grown,Chalone Vineyard
127287,Mea Culpa,Innocent Bystander
127288,Jackson Estate,Kendall-Jackson
127289,Reserva,Las Vertientes
127290,The Dodd,Lone Madrone
127291,,Stewart
127292,The Ironstone Pressings,D'Arenberg
127293,,Barden
127294,English Hill,Boheme
127295,,Casina di Cornia
127296,Szt. Tamás Aszú 6 Puttonyos,Royal Tokaji
127297,,Turkey Flat
127298,La Chapelle des Augustins,Henri Bourgeois
127299,Esporão Reserva,Herdade do Esporão
127300,Tito,Zuccardi
127301,,Greywacke
127302,Jennifer's,Hartford Court
127303,Old Vine Dina's Vineyard,Hartford Court
127304,Section 94,Dog Point
127305,Coddington,Kumeu River
127306,,Orma
127307,Vignes des Voises,Rijckaert
127308,Garys' Vineyard,Testarossa
127309,Ürziger Goldwingert,C.H. Berres
